fecha,dim,clave,in,out,net,aum
2026-06-30,bucket,Money Market USD,45593011.55,-141522643.78,-95929632.23,6950024489.41
2026-06-30,bucket,Fondos Cerrados,0.00,0.00,0.00,725272016312.13
2026-06-30,gestora,Dracma S.A.,0.00,0.00,0.00,9663686642.99
2026-06-30,bucket,Fondos Cerrados USD,0.00,0.00,0.00,377371149.73
2026-06-30,bucket,Solicitud en tramite,0.00,0.00,0.00,113033.33
2026-06-30,bucket,En Proceso de Liquidacion por Pago Total,0.00,0.00,0.00,57511946.07
2026-06-30,gestora,Por Decision CNV,0.00,0.00,0.00,2030772.37
2026-06-30,gestora,Bayfe S.A.S.G.F.C.I.,0.00,0.00,0.00,55481173.70
2026-07-02,bucket,Renta Variable,3311845304.35,-3894938126.98,-583092822.63,1990873076000.25
2026-07-02,gestora,BAVSA Fondos S.A.,6281327889.14,-654188510.65,5627139378.48,223768475758.17
2026-07-02,tipo_ger,Independiente,681981145991.86,-588350460383.55,93630685608.31,37623338099626.52
2026-07-02,gestora,StoneX Asset Management S.A.,12492937172.83,-1553536648.08,10939400524.74,689280577095.95
2026-07-02,gestora,Mariva Asset Management S.A.U.S.G.F.C.I.,10683524274.20,-2355473833.41,8328050440.79,424674024861.83
